source,target,prediction
Curt H. Davis,A. A. Soliman,N
Curt H. Davis,David E. Bakken,N
Mi Lu,David E. Bakken,N
Richard E. Schantz,David E. Bakken,P
Vijay Kumar,David E. Bakken,N
Du Zhang,David E. Bakken,P
Piero A. Bonatti,David E. Bakken,N
Michel Cukier,David E. Bakken,P
Douglas M. Blough,David E. Bakken,P
Fay Cobb Payton,David E. Bakken,N
Curt H. Davis,Jesús S. Aguilar-Ruiz,N
Sudha Ram,Jesús S. Aguilar-Ruiz,N
Colin Studholme,A. Ardeshir Goshtasby,P
Lawrence H. Staib,A. Ardeshir Goshtasby,N
Ivan Marsic,A. Ardeshir Goshtasby,P
Ertem Tuncel,A. Ardeshir Goshtasby,N
Colin Studholme,Steffen Lange,P
Wai Chen,Steffen Lange,N
Gunter Grieser,Steffen Lange,P
Sandip Das 0001,Steffen Lange,N
Daryle Gardner-Bonneau,Steffen Lange,N
Lawrence H. Staib,Anand Rangarajan 0001,P
Haili Chui,Anand Rangarajan 0001,P
Amir Herzberg,Anand Rangarajan 0001,P
Jennifer Preece,Anand Rangarajan 0001,P
David C. Fisher,Anand Rangarajan 0001,N
Lawrence H. Staib,Colin Studholme,P
M. Lynne Markus,Colin Studholme,P
James F. Greenleaf,Colin Studholme,P
Avram Sidi,Colin Studholme,P
Lawrence H. Staib,Michael Kaufmann 0001,P
Guy Lapalme,Michael Kaufmann 0001,P
Lawrence H. Staib,Prabhudev Konana,P
Stanley B. Gershwin,Prabhudev Konana,N
Cláudio T. Silva,Prabhudev Konana,P
Wen-Tsuen Chen,Prabhudev Konana,P
Lawrence H. Staib,Rupak Biswas,P
Bolian Liu,Rupak Biswas,P
Julia Padberg,Rupak Biswas,P
Ertem Tuncel,Kenneth Rose,P
Masahiro Inuiguchi,Kenneth Rose,N
Ertem Tuncel,Shankar L. Regunathan,P
Mahbub Hassan,Shankar L. Regunathan,N
Philip A. Chou,Shankar L. Regunathan,P
Jordi Ribas-Corbera,Shankar L. Regunathan,N
Daniel Mozos,Shankar L. Regunathan,N
Osamu Katai,Shankar L. Regunathan,N
Kenneth Rose,Shankar L. Regunathan,P
Ertem Tuncel,Thomas Huckle,N
Blackford Middleton,Thomas Huckle,N
Miroslav Tuma,Thomas Huckle,N
Konstantinos Daniilidis,Thomas Huckle,N
Lee M. Garth,A. C. Cem Say,N
Ion Petre,A. C. Cem Say,N
Gagan L. Choudhury,A. C. Cem Say,N
Donia Scott,A. C. Cem Say,N
Lee M. Garth,Peter J. Smith,N
Marco Chiani,Peter J. Smith,N
Anna Bernasconi 0001,Peter J. Smith,N
Louis Caccetta,Peter J. Smith,N
Lee M. Garth,Robyn R. Lutz,N
Reinhard Klein,Robyn R. Lutz,N
Arun Iyengar,Robyn R. Lutz,N
Thierry Viéville,Robyn R. Lutz,N
Chris Clifton,Robyn R. Lutz,P
Ion Petre,Alberto Bertoni,P
Ying-Hong Wang,Alberto Bertoni,P
Fang Liu,Alberto Bertoni,N
Charles Oppenheim,Alberto Bertoni,P
Ion Petre,Alex Alves Freitas,N
Ashish Ghosh,Alex Alves Freitas,N
Paolo Penna,Alex Alves Freitas,P
Minoru Okada,Alex Alves Freitas,P
Ion Petre,Andrzej Ehrenfeucht,P
Ferhat Khendek,Andrzej Ehrenfeucht,P
Antonio Fernandez Gómez-Skarmeta,Andrzej Ehrenfeucht,N
Francis Sullivan,Andrzej Ehrenfeucht,N
Ion Petre,Grzegorz Rozenberg,P
Brian M. Sadler,Grzegorz Rozenberg,P
Joan Torrens,Grzegorz Rozenberg,P
Yillbyung Lee,Grzegorz Rozenberg,P
Zhi-Pei Liang,Grzegorz Rozenberg,P
Ronald Dattero,Grzegorz Rozenberg,N
Toshimichi Saito,Grzegorz Rozenberg,P
Ion Petre,Tero Harju,P
Emo Welzl,Tero Harju,P
Zhengguo Li,Tero Harju,N
Lawrence S. Moss,Tero Harju,P
Susanne Bødker,Tero Harju,N
Ion Petre,Xiaodong Wang,N
Arnaud Doucet,Xiaodong Wang,P
Rodrigo Lopez,Xiaodong Wang,N
Zhengyuan Xu,Xiaodong Wang,N
Allen R. Hanson,Xiaodong Wang,P
